Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
10 METRE WIND V-COMP B GRID,3,210,m01s03i210,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
TEMPERATURE AT 1.5M,3,236,m01s03i236,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
RELATIVE HUMIDITY AT 1.5M,3,245,m01s03i245,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
FOG FRACTION AT 1.5 M,3,248,m01s03i248,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
DEWPOINT AT 1.5M (K),3,250,m01s03i250,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
SPECIFIC HUMIDITY AT 1.5M,3,237,m01s03i237,Instant.,3 hourly,T3HINST,DIAG, ,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
CLOUD LIQUID WATER AT 1.5M ,3,243,m01s03i243 ,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
SURFACE TEMPERATURE AFTER TIMESTEP,0,24,m01s00i024,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
EVAP FROM SOIL SURF : RATE KG/M2/S,3,296,m01s03i296,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
EVAP FROM CANOPY : RATE KG/M2/S,3,297,m01s03i297,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
TEMPERATURE AT 1.5M,3,236,m01s03i236,max,daily,TDAYMAX,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
TEMPERATURE AT 1.5M,3,236,m01s03i236,min,daily,TDAYMIN,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
LARGE SCALE RAINFALL RATE KG/M2/S,4,203,m01s04i203,mean,daily,TDAYM,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
LARGE SCALE SNOWFALL RATE KG/M2/S,4,204,m01s04i204,mean,daily,TDAYM,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
CONVECTIVE RAINFALL RATE KG/M2/S,5,205,m01s05i205,mean,daily,TDAYM,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
CONVECTIVE SNOWFALL RATE KG/M2/S,5,206,m01s05i206,mean,daily,TDAYM,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
TOTAL PRECIPITATION RATE KG/M2/S,5,216,m01s05i216,mean,daily,TDAYM,DIAG,UPB,2D Standard Diagnostics,pp1,am3a.pb%Y%b.nc
,,,,,,,,,,,
SURFACE NET RADIATION ON TILES,3,314,m01s03i314,instant.,3 hourly,T3HINST,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SURFACE TEMP ON TILES K,3,316,m01s03i316,instant.,3 hourly,T3HINST,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
