Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
CLEAR-SKY UPWARD LW FLUX ON LEVELS,2,219,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
CLEAR-SKY DOWNWARD LW FLUX ON LEVELS,2,220,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
TOTAL CLOUD AMOUNT ON LEVELS,2,261,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
SUPERCOOLED LIQUID WATER CONTENT,4,224,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
EVAPORATION OF RAIN RATE kg/kg/s,4,259,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
UPDRAUGHT MASS FLUX (Pa/s),5,250,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
DOWNDRAUGHT MASS FLUX (PA/S),5,251,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
MASS FLUX DEEP CONVECTION,5,320,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
MASS FLUX CONGESTUS CONVECTION,5,321,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
MASS FLUX SHALLOW CONVECTION,5,322,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
MASS FLUX MID-LEVEL CONVECTION,5,323,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
CLOUD WATER CONTENT (qc),16,206,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
TOTAL SPECIFIC HUMIDITY (qT),16,207,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
OMEGA ON THETA LEVELS (C GRID),30,8,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
RH on model levels at end timestep,30,113,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
,,,,,,,,,,,
PRESSURE AT RHO LEVELS AFTER TS,0,407,m01s00i407,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
EXNER PRESSURE AT THETA LEVELS,0,406,m01s00i406,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
PRESSURE AT THETA LEVELS AFTER TS,0,408,m01s00i408,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
CLOUD LIQUID WATER AFTER LS PRECIP,4,205,m01s04i205,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
RAINFALL RATE OUT OF MODEL LEVELS,4,222,m01s04i222,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
SNOWFALL RATE OUT OF MODEL LEVELS,4,223,m01s04i223,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
RIMING RATE CRY kg/kg/s,4,247,m01s04i247,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
RIMING RATE AGG kg/kg/s,4,248,m01s04i248,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
MELTING RATE CRY kg/kg/s,4,253,m01s04i253,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
MELTING RATE AGG kg/kg/s,4,254,m01s04i254,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
RAIN AUTOCONV RATE kg/kg/s,4,257,m01s04i257,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
RAIN ACCRETION RATE kg/kg/s,4,258,m01s04i258,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
LOWEST CONV CLOUD BASE LEVEL NO.,5,218,m01s05i218,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
LOWEST CONV CLOUD TOP LEVEL NO.,5,219,m01s05i219,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
NOMINAL 3D CONVECTIVE RAINFALL RATE,5,227,m01s05i227,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
NOMINAL 3D CONVECTIVE SNOWFALL RATE,5,228,m01s05i228,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
PV on model theta levels,15,218,m01s15i218,,,TALLTS,DALLTH,UPUKCA,UKCA Coupling Macro,,
SURFACE PRESSURE AFTER TIMESTEP,0,409,m01s00i409,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
NET DOWN SURFACE SW FLUX: SW TS ONLY,1,201,m01s01i201,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
TOTAL DOWNWARD SURFACE SW FLUX,1,235,m01s01i235,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
GRID-LEVEL OF SML INVERSION (kent),3,65,m01s03i065,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
GRID-LEVEL OF DSC INVERSION (kent),3,69,m01s03i069,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
ZHSC Top of decoupled layer,3,73,m01s03i073,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
SURFACE SENSIBLE HEAT FLUX W/M2,3,217,m01s03i217,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
10 METRE WIND SPEED ON C GRID,3,230,m01s03i230,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
EXPLICIT FRICTION VELOCITY,3,465,m01s03i465,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
CH4 WETLAND FLUX(FOR UKCA) UG C/M2/S,8,242,m01s08i242,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
Height at Tropopause Level,30,453,m01s30i453,,,TALLTS,DIAG,UPUKCA,UKCA Coupling Macro,,
PRESSURE AT RHO LEVELS AFTER TS,0,407,m01s00i407,,,TALLTS,DALLRH,UPUKCA,UKCA Coupling Macro,,
RHOKH_MIX,3,60,m01s03i060,,,TALLTS,DPBLTH,UPUKCA,UKCA Coupling Macro,,
DTRDZ_CHARNEY_GRID,3,64,m01s03i064,,,TALLTS,DPBLTH,UPUKCA,UKCA Coupling Macro,,
TURBULENT KINETIC ENERGY,3,473,m01s03i473,,,TALLTS,DPBLTH,UPUKCA,UKCA Coupling Macro,,
Rho * entrainment rate (we_lim),3,66,m01s03i066,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
Fraction of the timestep (t_frac),3,67,m01s03i067,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
zrzi,3,68,m01s03i068,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
Rho * entrainment rate dsc,3,70,m01s03i070,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
Fraction of the timestep dsc,3,71,m01s03i071,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
zrzi dsc,3,72,m01s03i072,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
STOMATAL CONDUCTANCE ON PFTS (M/S),3,462,m01s03i462,,,TALLTS,DPFTS,UPUKCA,UKCA Coupling Macro,,
